,names,DominantPollutant,aqi,PM10,dew,humidity,NO2,PM2,SO2,CO,O3,URL,Latitude,Longitude,datetime,ptu_id_1,ptu_id_2,ptu_id_3,ptu_id_4,ptu_id_5,ptu_id_6,label_1,label_2,label_3,label_4,label_5,label_6,ptu_ids,sample_values,ptu_labels
10,AMMAN,pm10,15,15,8.0,62.0,5.9,0,1.6,0.0,0.0,https://api.waqi.info/feed/AMMAN/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,31.93544,35.94458,2020-04-15 23:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,5.9,0.0,15,0,1.6]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
11,Amritsar,pm25,71,40,17.0,65.57,5.9,71,4.2,6.5,10.2,https://api.waqi.info/feed/Amritsar/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,31.6199803,74.8764849,2020-04-16 05:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[6.5,5.9,10.2,40,71,4.2]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
12,ANKARA,pm25,81,52,0.0,0.0,14.4,81,2.6,4.9,11.4,https://api.waqi.info/feed/ANKARA/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,39.92727454762165,32.85941127954306,2020-04-16 01:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[4.9,14.4,11.4,52,81,2.6]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
13,Anshan,pm25,157,85,0.0,37.0,9.2,157,8.2,7.3,89.7,https://api.waqi.info/feed/Anshan/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,41.108546,122.994646,2020-04-16 07:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[7.3,9.2,89.7,85,157,8.2]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
14,BAGHDAD,pm25,63,0,4.0,34.0,0.0,63,0.0,0.0,0.0,https://api.waqi.info/feed/BAGHDAD/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,33.3128,44.3615,2020-04-16 02:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,0,63,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
15,Bangalore,pm25,91,41,9.5,26.666666666666668,0.6,91,5.5,11.0,33.7,https://api.waqi.info/feed/Bangalore/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,12.938539,77.5901,2020-04-12 15:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[11.0,0.6,33.7,41,91,5.5]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
16,BANGKOK,pm25,72,25,0.0,86.0,8.1,72,1.1,0.1,11.9,https://api.waqi.info/feed/BANGKOK/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,13.7563309,100.5017651,2020-04-16 06:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.1,8.1,11.9,25,72,1.1]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
17,Baotou,pm10,409,409,0.0,46.2,7.4,161,3.6,5.5,34.2,https://api.waqi.info/feed/Baotou/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,40.657449,109.840347,2020-04-16 07:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[5.5,7.4,34.2,409,161,3.6]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
18,Barcelona,o3,33,22,0.0,84.3,4.2,0,0.6,0.1,32.5,https://api.waqi.info/feed/Barcelona/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,41.38534,2.153822,2020-04-16 01:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.1,4.2,32.5,22,0,0.6]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
19,BEIJING,pm25,25,64,0.0,71.0,4.2,25,0.6,3.7,31.7,https://api.waqi.info/feed/BEIJING/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,39.954592,116.468117,2020-04-16 08:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[3.7,4.2,31.7,64,25,0.6]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
20,Belem,pm25,69,40,0.0,66.0,10.8,69,0.0,4.5,0.0,https://api.waqi.info/feed/Belem/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,31.768319,35.21371,2020-04-16 01:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[4.5,10.8,0.0,40,69,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
21,BELGRADE,pm25,107,37,0.0,65.0,10.4,107,2.9,9.9,0.0,https://api.waqi.info/feed/BELGRADE/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,44.79880556,20.450305555556,2020-04-16 00:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[9.9,10.4,0.0,37,107,2.9]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
22,BERLIN,pm10,35,35,0.0,52.3,18.3,0,0.0,0.0,27.7,https://api.waqi.info/feed/BERLIN/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,52.5200066,13.404954,2020-04-16 01:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,18.3,27.7,35,0,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
23,Bhopal,pm25,171,95,14.0,38.666666666666664,9.2,171,8.5,11.6,1.5,https://api.waqi.info/feed/Bhopal/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,23.233584,77.400574,2020-04-16 05:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[11.6,9.2,1.5,95,171,8.5]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
24,Birmingham,pm25,115,49,0.0,63.6,27.3,115,0.0,0.0,3.7,https://api.waqi.info/feed/Birmingham/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,52.486243,-1.890401,2020-04-15 22:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,27.3,3.7,49,115,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
25,BOGOTA,pm25,62,45,10.0,74.0,6.4,62,0.5,5.5,10.7,https://api.waqi.info/feed/BOGOTA/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,4.5725,-74.0836,2020-04-15 19:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[5.5,6.4,10.7,45,62,0.5]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
26,BRASILIA,pm25,34,20,14.0,64.0,10.1,34,0.6,3.7,15.1,https://api.waqi.info/feed/BRASILIA/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,-23.618442773,-46.556353938,2020-04-15 20:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[3.7,10.1,15.1,20,34,0.6]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
27,Brisbane,pm25,26,16,0.0,64.8,0.0,26,0.0,0.0,0.0,https://api.waqi.info/feed/Brisbane/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,-27.4774,153.028,2020-04-16 09:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,16,26,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
28,BUCHAREST,pm10,11,11,1.3,84.3,8.4,0,0.0,0.0,0.0,https://api.waqi.info/feed/BUCHAREST/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,44.435029,26.098609,2020-04-16 03:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,8.4,0.0,11,0,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
29,BUDAPEST,pm25,51,38,0.0,50.0,32.8,51,2.1,5.5,2.2,https://api.waqi.info/feed/BUDAPEST/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,47.508605,19.02764,2020-04-16 00:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[5.5,32.8,2.2,38,51,2.1]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
30,BUENOS AIRES,pm25,9,4,0.0,53.0,0.0,9,2.1,0.0,3.7,https://api.waqi.info/feed/BUENOS%20AIRES/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,-34.657988,-58.342538,2020-04-15 20:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,3.7,4,9,2.1]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
31,Bursa,pm25,61,32,3.0,75.0,11.4,61,4.4,21.3,11.9,https://api.waqi.info/feed/Bursa/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,40.19572,29.04588,2020-04-16 01:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[21.3,11.4,11.9,32,61,4.4]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
32,Busan,pm25,63,35,0.0,66.0,13.9,63,4.3,3.4,31.2,https://api.waqi.info/feed/Busan/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,35.1795543,129.0756416,2020-04-16 09:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[3.4,13.9,31.2,35,63,4.3]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
33,Campinas,pm10,20,20,14.0,64.0,0.0,0,0.0,6.4,0.0,https://api.waqi.info/feed/Campinas/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,-22.902524804,-47.057210743,2020-04-15 20:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[6.4,0.0,0.0,20,0,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
34,Changchun,pm10,485,485,0.0,37.0,45.3,460,9.7,21.7,6.5,https://api.waqi.info/feed/Changchun/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,43.816964,125.323471,2020-04-16 07:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[21.7,45.3,6.5,485,460,9.7]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
35,Changsha,pm25,109,53,0.0,67.0,12.4,109,8.7,2.8,26.9,https://api.waqi.info/feed/Changsha/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,28.228209,112.938814,2020-04-16 07:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[2.8,12.4,26.9,53,109,8.7]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
36,Changzhou,pm25,152,79,0.0,89.9,34.3,152,7.1,5.5,0.0,https://api.waqi.info/feed/Changzhou/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,31.810077,119.974454,2020-04-16 06:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[5.5,34.3,0.0,79,152,7.1]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
37,Chelyabinsk,pm25,25,8,0.0,69.615,3.5,25,0.0,0.6,11.5,https://api.waqi.info/feed/Chelyabinsk/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,55.17616,61.48267,2020-04-16 00:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.6,3.5,11.5,8,25,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
38,Chengdu,pm25,175,103,0.0,72.0,17.4,175,7.1,7.7,11.0,https://api.waqi.info/feed/Chengdu/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,30.6250145,104.0670559,2020-04-16 08:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[7.7,17.4,11.0,103,175,7.1]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
39,Chennai,pm25,50,0,24.0,83.0,0.0,50,0.0,0.0,0.0,https://api.waqi.info/feed/Chennai/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,13.08784,80.27847,2020-04-16 05:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,0,50,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
40,Chicago,,-,0,0.0,86.0,0.0,13,0.0,0.0,0.0,https://api.waqi.info/feed/Chicago/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,41.9136,-87.7239,2020-03-31 11:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,0,13,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
41,CONAKRY,pm25,104,0,22.0,62.0,0.0,104,0.0,0.0,0.0,https://api.waqi.info/feed/CONAKRY/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,9.5951,-13.6364,2020-04-15 23:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,0,104,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
42,COPENHAGEN,pm25,46,20,0.0,73.5,2.3,46,0.7,2.1,32.1,https://api.waqi.info/feed/COPENHAGEN/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,55.6750137,12.5693995,2020-04-15 22:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[2.1,2.3,32.1,20,46,0.7]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
43,Cordoba,o3,29,10,12.0,100.0,1.0,0,1.1,0.1,28.5,https://api.waqi.info/feed/Cordoba/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,37.8935004,-4.7711062,2020-04-15 20:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.1,1.0,28.5,10,0,1.1]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
44,Daegu,pm25,63,28,0.0,78.0,7.5,63,2.9,5.6,28.1,https://api.waqi.info/feed/Daegu/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,35.8714354,128.601445,2020-04-16 09:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[5.6,7.5,28.1,28,63,2.9]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
45,Daejon,pm25,93,53,0.0,63.0,39.9,93,2.9,5.6,8.8,https://api.waqi.info/feed/Daejon/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,36.3504119,127.3845475,2020-04-16 09:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[5.6,39.9,8.8,53,93,2.9]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
46,Dalian,pm25,158,63,0.0,76.0,7.4,158,4.1,7.3,64.9,https://api.waqi.info/feed/Dalian/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,38.914003,121.614682,2020-04-16 07:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[7.3,7.4,64.9,63,158,4.1]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
47,Dallas,o3,41,0,0.0,27.0,5.0,19,0.0,0.0,40.8,https://api.waqi.info/feed/Dallas/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,32.8200608,-96.8601165,2020-04-15 17:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,5.0,40.8,0,19,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
48,Datong,pm10,502,502,0.0,93.7,10.1,153,9.7,4.6,30.9,https://api.waqi.info/feed/Datong/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,40.076816,113.300126,2020-04-16 07:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[4.6,10.1,30.9,502,153,9.7]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
49,DELHI,pm25,163,0,10.0,38.0,0.0,163,0.0,0.0,0.0,https://api.waqi.info/feed/DELHI/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,28.63576,77.22445,2020-04-16 05:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,0,163,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
50,DHAKA,pm25,57,0,18.0,82.0,0.0,57,0.0,0.0,0.0,https://api.waqi.info/feed/DHAKA/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,23.796373,90.424614,2020-04-16 05:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,0,57,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
51,Dnipropetrovsk,pm25,14,6,-2.0,46.54,0.0,14,0.0,0.0,0.0,https://api.waqi.info/feed/Dnipropetrovsk/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,48.458139,35.052214,2020-04-16 04:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,6,14,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
52,Durban,pm25,30,14,0.0,94.3,0.0,30,1.6,0.0,0.0,https://api.waqi.info/feed/Durban/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,-29.858283,31.027286,2020-04-16 02:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,14,30,1.6]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
53,Ecatepec,pm25,91,67,0.0,24.0,8.4,91,5.8,6.7,52.0,https://api.waqi.info/feed/Ecatepec/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,19.532968,-99.030324,2020-04-15 18:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[6.7,8.4,52.0,67,91,5.8]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
54,Foshan,pm25,112,55,0.0,90.5,24.7,112,2.6,4.6,31.7,https://api.waqi.info/feed/Foshan/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,23.021548,113.121416,2020-04-16 07:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[4.6,24.7,31.7,55,112,2.6]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
55,Fukuoka,pm25,50,18,0.0,74.9,27.8,50,1.5,4.5,4.8,https://api.waqi.info/feed/Fukuoka/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,33.5903547,130.4017155,2020-04-16 07:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[4.5,27.8,4.8,18,50,1.5]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
56,Fuzhou,pm25,104,52,0.0,77.0,16.5,104,3.1,6.4,91.0,https://api.waqi.info/feed/Fuzhou/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,26.074508,119.296494,2020-04-16 07:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[6.4,16.5,91.0,52,104,3.1]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
57,Guadalajara,o3,36,27,0.0,10.0,7.3,0,0.0,2.2,35.8,https://api.waqi.info/feed/Guadalajara/?token=bc8cabfdf4e2745126adb1fd8926a0017f982425,20.680450840176,-103.39873310432,2020-04-15 19:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[2.2,7.3,35.8,27,0,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
